IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201100097;97;5;2;PEUGEOT 407;2;2008;0;0;1;0;;;;0;0;1;1;3;;2011;3;5;2;3;;;;5;;13000;PEUGEOT 407;2;;;;13000;;0;1;;13000;;;1;;13000;0;;;0
201100099;99;5;1;RENAULT CLIO;2;2010;0;0;1;0;;;;0;0;1;2;1;;2010;9;2;1;1;6400;1000;1674;1;8572;15943;RENAULT CLIO;1;;;1674;15943;8572;0;1;1;15943;1674;1;;15943;;;8572;1674;
201100100;100;3;2;MERCEDES ML280 CDI;2;2009;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;MERCEDES CLASSE ML;1;;;;;;0;;;;;;;;;;;;
201100100;100;3;2;RENAULT LAGUNA;2;1999;0;0;1;0;;;;0;0;1;2;3;;1999;;;;;;;;;;;RENAULT LAGUNA;2;;;;;;0;;;;;;;;;;;;
201100101;101;4;1;205 PEUGEOT;1;1994;0;0;1;0;;;;0;257;1;1;3;;1994;;;;;;;;;;;PEUGEOT 205;1;257;;;;;0;;;;;;;;;;;;
201100103;103;6;1;TWINGO RENAULT;1;2003;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;RENAULT TWINGO;1;;;;;;0;;;;;;;;;;;;
201100106;106;1;2;FORD MONDEO;2;2006;1;0;1;0;;80;500;520;60;1;2;3;;2008;;;;;;;;;;;FORD MONDEO;1;60;520;;;;0;;;;;;;;;;;;
201100106;106;1;2;SEAT IBIZA;2;2009;1;0;1;0;;80;500;0;0;1;1;3;;2009;7;;;;;;;;;;SEAT IBIZA;2;;;;;;0;;;;;;;;;;;;
201100109;109;3;3;AUDI A6;2;2004;1;1;1;0;90;10;1000;1500;0;1;1;3;;2006;;;;;;;;;;;AUDI A6;1;;1500;;;;0;;;;;;;;;;;;
201100109;109;3;3;CHRYSLER VOYAGEUR;1;1992;0;0;1;0;;;;0;0;3;;3;;2008;;;;;;;;;;;CHRYSLER VOYAGER;2;;;;;;0;;;;;;;;;;;;
